source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Has anyone noticed that all the Boston @RedSox have done is WIN since coming to the White House! Others also have done very well. The White House visit is becoming the opposite of being on the cover of Sports Illustrated! By the way the Boston players were GREAT guys!,05-13-2019 11:29:13,4050,19061,false,1127898588565135360
Twitter for iPhone,The unexpectedly good first quarter 3.2% GDP was greatly helped by Tariffs from China. Some people just don¡¦t get it!,05-13-2019 11:02:18,4707,19333,false,1127891815628144640
Twitter for iPhone,Also congratulations to @OANN on the great job you are doing and the big ratings jump (¡§thank you President Trump¡¨)!,05-13-2019 10:56:22,4859,19372,false,1127890323055742976
Twitter for iPhone,Thank you @foxandfriends great show this morning and congratulations on your number one (by far) rating. Well deserved!,05-13-2019 10:52:30,4081,19770,false,1127889348874113024
Twitter for iPhone,I say openly to President Xi &amp; all of my many friends in China that China will be hurt very badly if you don¡¦t make a deal because companies will be forced to leave China for other countries. Too expensive to buy in China. You had a great deal almost completed &amp; you backed out!,05-13-2019 10:49:24,7238,28015,false,1127888569543077888
Twitter for iPhone,Their is no reason for the U.S. Consumer to pay the Tariffs which take effect on China today. This has been proven recently when only 4 points were paid by the U.S. 21 points by China because China subsidizes product to such a large degree. Also the Tariffs can be.....,05-13-2019 10:40:25,6274,26444,false,1127886307118678016
Twitter for iPhone,....completely avoided if you by from a non-Tariffed Country or you buy the product inside the USA (the best idea). That¡¦s Zero Tariffs. Many Tariffed companies will be leaving China for Vietnam and other such countries in Asia. That¡¦s why China wants to make a deal so badly!...,05-13-2019 10:40:25,5495,23940,false,1127886307995336705
Twitter for iPhone,..There will be nobody left in China to do business with. Very bad for China very good for USA! But China has taken so advantage of the U.S. for so many years that they are way ahead (Our Presidents did not do the job). Therefore China should not retaliate-will only get worse!,05-13-2019 10:40:25,5811,25063,false,1127886309316599808
Twitter for iPhone,¡§It¡¦s the attack strategy of harass. This is not about the Attorney General who is very sophisticated &amp; knows it isn¡¦t about him it¡¦s about trying to destroy President Trump through an assault on his AG for upholding the rule of law. He released a massive amount of......,05-13-2019 10:09:51,7807,30272,false,1127878613905420289
Twitter for iPhone,information! As long as President Trump is President his opposition will use every tool and misuse every tool available to make his life miserable.¡¨ @TomFitton @JudicialWatch @LouDobbs  Sadly this proves I am doing a great job - Also Best Economy and Employment Numbers EVER!,05-13-2019 10:09:51,7453,30151,false,1127878614761050112
Twitter for iPhone,¡§Just another abuse of power in a long series of abuses of power by the Democrats that began during the Obama Administration continued through the Mueller FBI operation &amp; now the baton has been passed to Jerry Nadler to continue to abuse power to harass President Trump..,05-13-2019 02:00:47,15616,58856,false,1127755536638906370
Twitter for iPhone,....and the Democrat National Committee-The Democrat Party apparatus-has been caught using donor Dollars to Collude with Russian Intelligence to attack a domestic political opponent (me). The FBI has no leadership. The Director is protecting the same gang.....that tried to....,05-13-2019 02:00:47,12595,47865,false,1127755537997811712
Twitter for iPhone,....overthrow the President through an illegal coup.¡¨ (Recommended by previous DOJ) @TomFitton @JudicialWatch,05-13-2019 02:00:47,12809,48490,false,1127755538765438977
Twitter for iPhone,¡§Even Director James Clapper admits that the FBI actions against the Trump Presidential Campaign do in fact meet the definition of spying perhaps FBI Director Christopher Wray will be the next to do so.¡¨ @LouDobbs,05-13-2019 01:19:46,13363,46367,false,1127745216088367106
Twitter for iPhone,China is DREAMING that Sleepy Joe Biden or any of the others gets elected in 2020. They LOVE ripping off America!,05-12-2019 23:22:39,15540,63523,false,1127715742898692097
Twitter for iPhone,The ¡§Constitutional Crisis¡¨ is the Democrats refusing to work. Let them start by fixing the mess that their Immigration Laws have caused at the Southern Border.,05-12-2019 23:19:39,14261,50024,false,1127714988313980928
Twitter for iPhone,When the Mueller Report came out showing NO Collusion with Russia (of course) it was supposed to be over back to work for the people. But the Dems have gone ¡§nuts¡¨ and it has actually gotten worse! Hope the Republicans win back the House in 2020 or little will get done!,05-12-2019 23:16:10,14945,54760,false,1127714109921869836
Twitter for iPhone,Ever since the Mueller Report showed No Collusion &amp; No Obstruction the Dems have been working overtime to damage me and the Republican Party by issuing over 80 demands for documents and testimonies and with NO REASON. That¡¦s all they want to do - don¡¦t care about anything else!,05-12-2019 23:10:43,14641,55215,false,1127712737310728194
